symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SPY,2025-07-17 13:01:00+00:00,625.27,625.57,625.27,625.57,21057.0,282.0,625.456719
SPY,2025-07-17 13:02:00+00:00,625.58,625.61,625.5,625.5,15951.0,150.0,625.579516
SPY,2025-07-17 13:03:00+00:00,625.53,625.5499,625.37,625.37,5337.0,109.0,625.489841
SPY,2025-07-17 13:04:00+00:00,625.3602,625.45,625.3404,625.45,5680.0,83.0,625.387525
SPY,2025-07-17 13:05:00+00:00,625.41,625.499,625.39,625.499,2012.0,53.0,625.426069
SPY,2025-07-17 13:06:00+00:00,625.51,625.53,625.47,625.48,18341.0,171.0,625.500004
SPY,2025-07-17 13:07:00+00:00,625.54,625.6,625.5,625.5,6138.0,92.0,625.560369
SPY,2025-07-17 13:08:00+00:00,625.4904,625.5,625.46,625.4699,3590.0,72.0,625.481893
SPY,2025-07-17 13:09:00+00:00,625.441,625.5,625.43,625.4411,5668.0,85.0,625.453908
SPY,2025-07-17 13:10:00+00:00,625.43,625.43,625.41,625.42,2586.0,68.0,625.424869
SPY,2025-07-17 13:11:00+00:00,625.36,625.45,625.36,625.41,3752.0,67.0,625.383997
SPY,2025-07-17 13:12:00+00:00,625.42,625.42,625.36,625.36,3215.0,60.0,625.371465
SPY,2025-07-17 13:13:00+00:00,625.36,625.3799,625.27,625.28,5275.0,119.0,625.319172
SPY,2025-07-17 13:14:00+00:00,625.28,625.3,625.21,625.23,6463.0,93.0,625.269952
SPY,2025-07-17 13:15:00+00:00,625.16,625.19,625.14,625.16,17843.0,126.0,625.170665
SPY,2025-07-17 13:16:00+00:00,625.16,625.16,625.01,625.01,8267.0,107.0,625.075893
SPY,2025-07-17 13:17:00+00:00,625.0,625.01,624.9,624.9,6464.0,115.0,624.931603
SPY,2025-07-17 13:18:00+00:00,624.84,624.8992,624.84,624.8599,3834.0,71.0,624.860028
SPY,2025-07-17 13:19:00+00:00,624.8499,624.86,624.8499,624.85,2882.0,51.0,624.850681
SPY,2025-07-17 13:20:00+00:00,624.83,624.84,624.74,624.74,9241.0,129.0,624.79058
SPY,2025-07-17 13:21:00+00:00,624.759,624.8,624.7,624.73,25865.0,176.0,624.76069
SPY,2025-07-17 13:22:00+00:00,624.68,624.74,624.61,624.72,8653.0,153.0,624.669744
SPY,2025-07-17 13:23:00+00:00,624.72,624.72,624.67,624.71,2460.0,59.0,624.687848
SPY,2025-07-17 13:24:00+00:00,624.73,624.79,624.62,624.62,4375.0,125.0,624.719804
SPY,2025-07-17 13:25:00+00:00,624.69,624.76,624.68,624.72,9309.0,89.0,624.736349
SPY,2025-07-17 13:26:00+00:00,624.72,624.78,624.72,624.75,3277.0,138.0,624.748376
SPY,2025-07-17 13:27:00+00:00,624.73,624.75,624.66,624.7,10839.0,187.0,624.720245
SPY,2025-07-17 13:28:00+00:00,624.75,624.76,624.53,624.62,29714.0,312.0,624.621612
SPY,2025-07-17 13:29:00+00:00,624.6,624.6,624.44,624.44,43135.0,259.0,624.522923
SPY,2025-07-17 13:30:00+00:00,624.43,624.7,624.18,624.44,692974.0,7626.0,624.393053
SPY,2025-07-17 13:31:00+00:00,624.44,624.88,624.43,624.72,242059.0,3336.0,624.659509
SPY,2025-07-17 13:32:00+00:00,624.71,624.85,624.5299,624.53,266861.0,3500.0,624.725207
SPY,2025-07-17 13:33:00+00:00,624.52,624.6,624.41,624.55,156532.0,2498.0,624.497392
SPY,2025-07-17 13:34:00+00:00,624.54,624.66,624.3619,624.6499,173071.0,2462.0,624.523156
SPY,2025-07-17 13:35:00+00:00,624.65,624.78,624.47,624.7152,269075.0,3415.0,624.595561
SPY,2025-07-17 13:36:00+00:00,624.71,624.71,624.42,624.555,182604.0,2403.0,624.558758
SPY,2025-07-17 13:37:00+00:00,624.555,624.92,624.53,624.84,200370.0,2554.0,624.721437
SPY,2025-07-17 13:38:00+00:00,624.85,624.9199,624.665,624.7951,159701.0,2059.0,624.791751
SPY,2025-07-17 13:39:00+00:00,624.795,624.885,624.735,624.79,113714.0,1608.0,624.818978
SPY,2025-07-17 13:40:00+00:00,624.79,625.13,624.67,625.13,198031.0,2847.0,624.937693
SPY,2025-07-17 13:41:00+00:00,625.125,625.41,625.07,625.39,243538.0,2875.0,625.258799
SPY,2025-07-17 13:42:00+00:00,625.38,625.585,625.38,625.515,286499.0,3560.0,625.516154
SPY,2025-07-17 13:43:00+00:00,625.52,625.61,625.405,625.44,248034.0,2846.0,625.51436
SPY,2025-07-17 13:44:00+00:00,625.455,625.64,625.43,625.575,134718.0,1935.0,625.54803
SPY,2025-07-17 13:45:00+00:00,625.58,625.665,625.49,625.53,240135.0,3063.0,625.590921
SPY,2025-07-17 13:46:00+00:00,625.5237,625.655,625.48,625.55,148373.0,2068.0,625.55948
SPY,2025-07-17 13:47:00+00:00,625.55,625.6,625.43,625.46,150489.0,2002.0,625.526901
SPY,2025-07-17 13:48:00+00:00,625.46,625.65,625.46,625.62,117694.0,1794.0,625.590669
SPY,2025-07-17 13:49:00+00:00,625.63,625.96,625.63,625.95,202585.0,2655.0,625.810711
SPY,2025-07-17 13:50:00+00:00,625.96,626.02,625.8593,625.88,292034.0,2975.0,625.955299
SPY,2025-07-17 13:51:00+00:00,625.885,625.955,625.8198,625.9001,187305.0,2308.0,625.87005
